"title","rating","overview","release date","original language","director","actors","revenue","genres","genres_ru"
"Ashfall","6.793","A group of unlikely heroes from across the Korean peninsula try to save the day after a volcano erupts on the mythical and majestic Baekdu Mountain.","2019-12-19","ko","Kim Byung-seo","Lee Byung-hun, Ha Jung-woo, Ma Dong-seok, Jeon Hye-jin, Bae Suzy","61321941","Action, Adventure, Thriller","Боевик, Приключения, Триллер"
"Escape Plan: The Extractors","5.4","After security expert Ray Breslin is hired to rescue the kidnapped daughter of a Hong Kong tech mogul from a formidable Latvian prison, Breslin's girlfriend is also captured. Now he and his team must pull off a deadly rescue mission to confront their sadistic foe and save the hostages before time runs out.","2019-06-20","en","John Herzfeld","Sylvester Stallone, Dave Bautista, 50 Cent, Zhang Jin, Harry Shum Jr.","1766092","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"Close","6","A counter-terrorism expert takes a job protecting a young heiress. After an attempted kidnapping puts both of their lives in danger, they must flee.","2019-02-22","en","Vicky Jewson","Noomi Rapace, Sophie Nélisse, Indira Varma, Eoin Macken, Akin Gazi","0","Action, Adventure, Thriller","Боевик, Приключения, Триллер"
"Triple Threat","6.423","A crime syndicate places a hit on a billionaire's daughter, making her the target of an elite assassin squad. A small band of down-and-out mercenaries protects her, fighting tooth and nail to stop the assassins from reaching their target.","2019-03-19","en","Jesse V. Johnson","Tony Jaa, Tiger Chen Hu, Iko Uwais, Scott Adkins, Michael Jai White","0","Thriller, Action","Триллер, Боевик"
"The Wolf's Call","7.6","With nuclear war looming, a military expert in underwater acoustics strives to prove things aren't as they seem—or sound—using only his ears.","2019-02-20","fr","Antonin Baudry","François Civil, Omar Sy, Mathieu Kassovitz, Reda Kateb, Paula Beer","12652790","Thriller, Action, Adventure","Триллер, Боевик, Приключения"
"Bad Boys for Life","7.1","Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.","2020-01-15","en","Bilall Fallah","Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Charles Melton","426505244","Thriller, Action, Crime","Триллер, Боевик, Криминал"
"Greenland","7.134","John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting levelled, the Garritys experience the best and worst in humanity. As the countdown to the global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven.","2020-07-29","en","Ric Roman Waugh","Gerard Butler, Morena Baccarin, David Denman, Hope Davis, Roger Dale Floyd","52300000","Action, Thriller, Drama","Боевик, Триллер, Драма"
"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train","8.211","Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!","2020-10-16","ja","Haruo Sotozaki","Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka, Satoshi Hino","507119058","Animation, Action, Fantasy, Thriller","Анимация, Боевик, Фэнтези, Триллер"
"The Silencing","6.5","A reformed hunter becomes involved in a deadly game of cat and mouse when he and the local sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.","2020-07-18","en","Robin Pront","Nikolaj Coster-Waldau, Annabelle Wallis, Zahn McClarnon, Melanie Scrofano, Hero Fiennes Tiffin","0","Thriller, Action, Crime","Триллер, Боевик, Криминал"
"Tenet","7.2","Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.","2020-08-22","en","Christopher Nolan","John David Washington, Robert Pattinson, Elizabeth Debicki, Kenneth Branagh, Dimple Kapadia","365304105","Action, Thriller, Science Fiction","Боевик, Триллер, Научная фантастика"
"Ava","5.831","A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.","2020-07-02","en","Tate Taylor","Jessica Chastain, John Malkovich, Common, Colin Farrell, Geena Davis","2987741","Action, Thriller, Crime","Боевик, Триллер, Криминал"
"The Promised Neverland","7.527","A number of children are being well fed, taken care of, and pampered at a very meticulate and managed orphanage. The facility and grounds are impressive, but the wall acting as a barrier is high. There is a secret to the place and once revealed to several orphans, they're desperate to escape.","2020-12-18","ja","Yuichiro Hirakawa","Minami Hamabe, Kairi Jo, Rihito Itagaki, Keiko Kitagawa, Naomi Watanabe","17710977","Action, Fantasy, Mystery, Adventure, Thriller","Боевик, Фэнтези, Мистика, Приключения, Триллер"
"Vanguard","6.3","Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.","2020-09-30","zh","Stanley Tong","Jackie Chan, Yang Yang, Allen Ai Lun, Jackson Liu, Miya Muqi","50866901","Comedy, Thriller, Action, Adventure","Комедия, Триллер, Боевик, Приключения"
"Money Plane","5.676","A professional thief with $40 million in debt and his family's life on the line must commit one final heist - rob a futuristic airborne casino filled with the world's most dangerous criminals.","2020-09-29","en","Andrew Lawrence","Adam Copeland, Kelsey Grammer, Thomas Jane, Denise Richards, Katrina Norman","618","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"Becky","6.297","A teenager's weekend at a lake house with her father takes a turn for the worse when a group of convicts wreaks havoc on their lives.","2020-07-23","en","Cary Murnion","Lulu Wilson, Kevin James, Joel McHale, Robert Maillet, Amanda Brugel","1045873","Thriller, Horror, Action","Триллер, Ужасы, Боевик"
"High Ground","6.5","In a remote corner of the wild country, a bloody war rages. Travis is a bounty hunter with one last hope of redemption. Gutjuk is a young Indigenous man trying to save the last of his family. Together they embark on a manhunt, which unravels a secret that ultimately pits them against each other.","2020-02-23","en","Stephen Johnson","Simon Baker, Jacob Junior Nayinggul, Jack Thompson, Callan Mulvey, Caren Pistorius","2313364","Thriller, Action, Western, Drama","Триллер, Боевик, Вестерн, Драма"
"Spenser Confidential","6.536","Spenser, a former Boston patrolman who just got out from prison, teams up with Hawk, an aspiring fighter, to unravel the truth behind the death of two police officers.","2020-03-06","en","Peter Berg","Mark Wahlberg, Winston Duke, Alan Arkin, Iliza Shlesinger, Michael Gaston","0","Comedy, Action, Thriller","Комедия, Боевик, Триллер"
"Paydirt","5.8","A parolee teams up with his old crew determined to find a buried bag of cash stolen a decade ago from a DEA bust gone bad, while being tracked by a retired Sheriff.","2020-08-07","en","Christian Sesma","Luke Goss, Val Kilmer, Mike Hatton, Paul Sloan, Nick Vallelonga","0","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"Honest Thief","6.502","A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.","2020-09-03","en","Mark Williams","Liam Neeson, Kate Walsh, Jai Courtney, Jeffrey Donovan, Anthony Ramos","31220247","Thriller, Action, Crime","Триллер, Боевик, Криминал"
"Unhinged","6.449","Rachel is a divorced single mother whose bad day gets even worse. She's running late to drop her son off at school when she honks her horn impatiently at a fellow driver during rush-hour traffic. After an exchange of words, she soon realizes that the mysterious man is following her and her young son in his truck. A case of road rage quickly escalates, at horrifyingly psychotic proportions, into full-blown terror as Rachel discovers the psychopath's sinister plan for revenge. He is single-mindedly determined to teach her a deadly lesson.","2020-07-16","en","Derrick Borte","Russell Crowe, Caren Pistorius, Gabriel Bateman, Jimmi Simpson, Austin P. McKenzie","39238300","Action, Thriller, Horror","Боевик, Триллер, Ужасы"
"Wrath of Man","7.63","A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.","2021-04-22","en","Guy Ritchie","Jason Statham, Holt McCallany, Josh Hartnett, Scott Eastwood, Darrell D'Silva","103966489","Crime, Action, Thriller","Криминал, Боевик, Триллер"
"The King's Man","6.755","As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.","2021-12-22","en","Matthew Vaughn","Ralph Fiennes, Gemma Arterton, Rhys Ifans, Matthew Goode, Tom Hollander","125900000","Action, Comedy, Adventure, Thriller","Боевик, Комедия, Приключения, Триллер"
"Infinite","6.6","Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.","2021-09-09","en","Antoine Fuqua","Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Jason Mantzoukas, Rupert Friend","0","Science Fiction, Action, Adventure, Thriller","Научная фантастика, Боевик, Приключения, Триллер"
"No Time to Die","7.4","Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","2021-09-29","en","Cary Joji Fukunaga","Daniel Craig, Léa Seydoux, Rami Malek, Lashana Lynch, Ralph Fiennes","774153024","Action, Thriller, Adventure","Боевик, Триллер, Приключения"
"Boss Level","6.9","A former special forces agent is trapped in a time loop and relives his death over and over again. To escape the terrible situation, he must track down those responsible and stop them.","2021-02-19","en","Joe Carnahan","Frank Grillo, Mel Gibson, Naomi Watts, Annabelle Wallis, Ken Jeong","2000000","Action, Science Fiction, Thriller","Боевик, Научная фантастика, Триллер"
"Nobody","8","Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.","2021-03-18","en","Ilya Naishuller","Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen, Christopher Lloyd, Michael Ironside","61779301","Action, Thriller","Боевик, Триллер"
"Extraction Point","5.4","An alien visitor must race against time to reach his extraction point after his UFO is forced to crash down on Earth.","2021-06-29","en","Franklin Correa","Tara London, Franklin Correa, Farid Jamal Khan, Bryan C. King, Valentin Montero","0","Science Fiction, Action, Thriller","Научная фантастика, Боевик, Триллер"
"Sooryavanshi","5.8","A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.","2021-11-05","hi","Rohit Shetty","Akshay Kumar, Katrina Kaif, Javed Jaffrey, Kumud Mishra, Abhimanyu Singh","35000000","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"Hitman's Wife's Bodyguard","6.7","The world’s most lethal odd couple – bodyguard Michael Bryce and hitman Darius Kincaid – are back on another life-threatening mission. Still unlicensed and under scrutiny, Bryce is forced into action by Darius's even more volatile wife, the infamous international con artist Sonia Kincaid. As Bryce is driven over the edge by his two most dangerous protectees, the trio get in over their heads in a global plot and soon find that they are all that stand between Europe and a vengeful and powerful madman.","2021-06-14","en","Patrick Hughes","Ryan Reynolds, Samuel L. Jackson, Salma Hayek Pinault, Antonio Banderas, Morgan Freeman","70060492","Action, Comedy, Crime, Thriller","Боевик, Комедия, Криминал, Триллер"
"Pushpa: The Rise","7.1","Pushpa Raj is a coolie who rises in the world of red sandalwood smuggling. Along the way, he doesn’t shy from making an enemy or two.","2021-12-16","te","Sukumar","Allu Arjun, Rashmika Mandanna, Jagadeesh Bandari, Sunil Varma, Dhananjay","44880143","Action, Drama, Thriller","Боевик, Драма, Триллер"
"Hard Hit","7.6","On his way to work, a bank manager receives an anonymous call claiming there's a bomb under his car seat, and if anyone exits the car, it will explode unless he can pay a ransom.","2021-06-23","ko","Kim Chang-ju","Jo Woo-jin, Lee Jae-in, Ji Chang-wook, Jin Kyung, Kim Ji-ho","0","Action, Crime, Drama, Thriller","Боевик, Криминал, Драма, Триллер"
"Tom Clancy's Without Remorse","7","An elite Navy SEAL uncovers an international conspiracy while seeking justice for the murder of his pregnant wife.","2021-04-29","en","Stefano Sollima","Michael B. Jordan, Jamie Bell, Guy Pearce, Jodie Turner-Smith, Lauren London","0","Action, Thriller, War","Боевик, Триллер, Военный"
"Army of Thieves","6.8","A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.","2021-10-29","en","Matthias Schweighöfer","Matthias Schweighöfer, Nathalie Emmanuel, Ruby O. Fee, Stuart Martin, Guz Khan","46900000","Action, Thriller, Crime, Comedy","Боевик, Триллер, Криминал, Комедия"
"Those Who Wish Me Dead","6.657","A young boy finds himself pursued by two assassins in the Montana wilderness, with a survival expert determined to protect him, and a forest fire threatening to consume them all.","2021-05-05","en","Taylor Sheridan","Angelina Jolie, Finn Little, Jon Bernthal, Nicholas Hoult, Aidan Gillen","23384502","Thriller, Action","Триллер, Боевик"
"The Marksman","6.843","Jim Hanson’s quiet life is suddenly disturbed by two people crossing the US/Mexico border – a woman and her young son – desperate to flee a Mexican cartel. After a shootout leaves the mother dead, Jim becomes the boy’s reluctant defender. He embraces his role as Miguel’s protector and will stop at nothing to get him to safety, as they go on the run from the relentless assassins.","2021-01-15","en","Robert Lorenz","Liam Neeson, Jacob Perez, Katheryn Winnick, Teresa Ruiz, Sean A. Rosales","23076711","Action, Drama, Thriller","Боевик, Драма, Триллер"
"Jolt","6.6","A bouncer with an anger management problem goes on a furious and resentful rampage after the murder of a friend.","2021-07-15","en","Tanya Wexler","Kate Beckinsale, Stanley Tucci, Bobby Cannavale, Jai Courtney, Laverne Cox","238524","Action, Thriller","Боевик, Триллер"
"Gunpowder Milkshake","6.339","To protect an 8-year-old girl, a dangerous assassin reunites with her mother and her lethal associates to take down a ruthless crime syndicate and its army of henchmen.","2021-07-14","en","Navot Papushado","Karen Gillan, Lena Headey, Chloe Coleman, Carla Gugino, Michelle Yeoh","1015760","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"The Misfits","5.5","After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others.","2021-06-03","en","Renny Harlin","Pierce Brosnan, Tim Roth, Nick Cannon, Rami Jaber, Jamie Chung","0","Action, Thriller","Боевик, Триллер"
"Fall","7.2","For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights","2022-08-11","en","Scott Mann","Grace Caroline Currey, Virginia Gardner, Jeffrey Dean Morgan, Mason Gooding, Jasper Cole","17363261","Thriller, Action","Триллер, Боевик"
"Prey","7.7","When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.","2022-08-02","en","Dan Trachtenberg","Amber Midthunder, Dakota Beavers, Michelle Thrush, Stormee Kipp, Julian Black Antelope","0","Thriller, Action, Science Fiction","Триллер, Боевик, Научная фантастика"
"Bullet Train","7.452","Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.","2022-08-03","en","David Leitch","Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry, Andrew Koji","239300000","Action, Comedy, Thriller","Боевик, Комедия, Триллер"
"The 355","6.062","A group of top female agents from American, British, Chinese, Colombian, and German government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos.","2022-01-05","en","Simon Kinberg","Jessica Chastain, Lupita Nyong'o, Penélope Cruz, Diane Kruger, Fan Bingbing","55700000","Action, Adventure, Thriller","Боевик, Приключения, Триллер"
"The Witch: Part 2. The Other One","7.2","A girl wakes up in a huge secret laboratory, then accidentally meets another girl who is trying to protect her house from a gang. The mystery girl overthrows the gang with her unexpected powers, and laboratory staff set out to find her.","2022-06-15","ko","Park Hoon-jung","Shin Si-a, Park Eun-bin, Seo Eun-soo, Jin Goo, Seong Yu-bin","23068596","Action, Mystery, Thriller, Science Fiction, Adventure","Боевик, Мистика, Триллер, Научная фантастика, Приключения"
"Top Gunner: Danger Zone","5.9","An airliner filled with 800 passengers is forced to fly fast and low, above farmlands, suburbs and skyscraper-packed cities or the tons of explosives aboard will detonate. When an elite unit of US Air Force fighter jets is sent to provide escort, they find themselves facing a squadron of unidentifiable warplanes which ignites a deadly air battle that threatens to destroy all life above and below.","2022-05-20","en","Glenn Miller","Michael Paré, Jack Pearson, Alex Herrald, Gina Daidone, Edwin Modlin II","0","Action, Thriller","Боевик, Триллер"
"The Roundup","7.246","The 'Beast Cop' Ma Seok-do heads to a foreign country to extradite a suspect, but soon after his arrival, he discovers additional murder cases and hears about a vicious killer who has been committing crimes against tourists for several years.","2022-05-18","ko","Lee Sang-yong","Ma Dong-seok, Son Suk-ku, Choi Gwi-hwa, Park Ji-hwan, Heo Dong-won","101166707","Action, Crime, Comedy, Thriller","Боевик, Криминал, Комедия, Триллер"
"Attack","6.7","With the Parliament under siege, India’s first super soldier Arjun Shergill is tasked to get hold of the terrorists in time, save the Prime Minister from their clutches and stop a dirty bomb from exploding and destroying Delhi.","2022-04-01","hi","Lakshya Raj Anand","John Abraham, Serena Walia, Rakul Preet Singh, Prakash Raj, Ratna Pathak Shah","2600000","Action, Science Fiction, Thriller","Боевик, Научная фантастика, Триллер"
"Memory","6.8","Alex, an assassin-for-hire, finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. With the crime syndicate and FBI in hot pursuit, Alex has the skills to stay ahead, except for one thing: he is struggling with severe memory loss, affecting his every move. Alex must question his every action and whom he can ultimately trust.","2022-04-28","en","Martin Campbell","Liam Neeson, Guy Pearce, Taj Atwal, Harold Torres, Monica Bellucci","13900000","Action, Thriller, Crime","Боевик, Триллер, Криминал"
"K.G.F: Chapter 2","7.4","The blood-soaked land of Kolar Gold Fields (KGF) has a new overlord now - Rocky, whose name strikes fear in the heart of his foes. His allies look up to Rocky as their Savior, the government sees him as a threat to law and order; enemies are clamoring for revenge and conspiring for his downfall. Bloodier battles and darker days await as Rocky continues on his quest for unchallenged supremacy.","2022-04-14","kn","Prashanth Neel","Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty, Archana Jois","90410749","Action, Adventure, Crime, Thriller","Боевик, Приключения, Криминал, Триллер"
"Athena","6.6","Hours after the tragic death of their youngest brother in unexplained circumstances, three siblings have their lives thrown into chaos.","2022-09-09","fr","Romain Gavras","Dali Benssalah, Anthony Bajon, Alexis Manenti, Ouassini Embarek, Sami Slimane","0","Action, Adventure, Thriller, Drama","Боевик, Приключения, Триллер, Драма"
"Dead for a Dollar","5.9","In 1897, veteran bounty hunter Max Borlund is deep into Mexico where he encounters professional gambler and outlaw Joe Cribbens — a sworn enemy he sent to prison years before. Max is on a mission to find and return Rachel Kidd, the wife of a wealthy businessman, who as the story is told to Max, has been abducted by Buffalo Soldier Elijah Jones. Max is ultimately faced with a showdown to save honor.","2022-09-30","en","Walter Hill","Christoph Waltz, Willem Dafoe, Rachel Brosnahan, Hamish Linklater, Benjamin Bratt","81403","Western, Thriller, Action","Вестерн, Триллер, Боевик"
"Blacklight","6.165","Travis Block is a shadowy Government agent who specializes in removing operatives whose covers have been exposed. He then has to uncover a deadly conspiracy within his own ranks that reaches the highest echelons of power.","2022-02-10","en","Mark Williams","Liam Neeson, Emmy Raver-Lampman, Taylor John Smith, Aidan Quinn, Tim Draxl","15902207","Action, Thriller, Drama, Adventure","Боевик, Триллер, Драма, Приключения"
"The Gray Man","6.955","When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.","2022-07-13","en","Joe Russo","Ryan Gosling, Chris Evans, Ana de Armas, Billy Bob Thornton, Jessica Henwick","454023","Action, Thriller","Боевик, Триллер"
"Black Site","6.2","A group of officers based in a labyrinthine top-secret prison must fight for their lives against Hatchet, a brilliant and infamous high-value detainee. When he escapes, his mysterious and deadly agenda has far reaching and dire consequences.","2022-05-05","en","Sophia Banks","Jason Clarke, Michelle Monaghan, Jai Courtney, Pallavi Sharda, Fayssal Bazzi","0","Action, Thriller, Crime, Drama","Боевик, Триллер, Криминал, Драма"
"Last Seen Alive","6.462","After Will Spann's wife suddenly vanishes at a gas station, his desperate search to find her leads him down a dark path that forces him to run from authorities and take the law into his own hands.","2022-05-12","en","Brian Goodman","Gerard Butler, Jaimie Alexander, Russell Hornsby, Ethan Embry, Michael Irby","5950199","Action, Thriller","Боевик, Триллер"
"Beast","6.6","A recently widowed man and his two teenage daughters travel to a game reserve in South Africa. However, their journey of healing soon turns into a fight for survival when a bloodthirsty lion starts to stalk them.","2022-08-11","en","Baltasar Kormákur","Idris Elba, Leah Sava Jeffries, Iyana Halley, Sharlto Copley, Martin Munro","56000000","Thriller, Action, Horror","Триллер, Боевик, Ужасы"
"Operation Black Ops","5.577","A group of mercenaries are hired to overthrow a Neo-Nazi stronghold nestled deep in the heart of Texas, only to discover they are protecting nuclear codes that could ignite World War III.","2023-07-11","en","Jamaal Burden","Tito Ortiz, Cristiane Justino, Mike Ferguson, Kelsey Johnson, Mike Markoff","0","Action, Thriller","Боевик, Триллер"
"Fast X","7.084","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.","2023-05-17","en","Louis Leterrier","Vin Diesel, Michelle Rodriguez, Tyrese Gibson, Ludacris, John Cena","704709660","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"John Wick: Chapter 4","7.734","With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","2023-03-22","en","Chad Stahelski","Keanu Reeves, Donnie Yen, Bill Skarsgård, Ian McShane, Laurence Fishburne","440157245","Action, Thriller, Crime","Боевик, Триллер, Криминал"
"King of Killers","6.5","Garan is a part of a group of international hitmen who are contracted to take out the most dangerous killer in the world, only to find out that they're the ones being hunted.","2023-09-01","en","Kevin Grevioux","Alain Moussi, Frank Grillo, Marie Avgeropoulos, Georges St-Pierre, Shannon Kook","0","Action, Thriller","Боевик, Триллер"
"Expend4bles","6.19","Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.","2023-09-15","en","Scott Waugh","Jason Statham, 50 Cent, Megan Fox, Dolph Lundgren, Tony Jaa","37917985","Action, Adventure, Thriller","Боевик, Приключения, Триллер"
"Extraction 2","7.4","Back from the brink of death, highly skilled commando Tyler Rake takes on another dangerous mission: saving the imprisoned family of a ruthless gangster.","2023-06-09","en","Sam Hargrave","Chris Hemsworth, Golshifteh Farahani, Adam Bessa, Tornike Gogrichiani, Tornike Bziava","0","Action, Thriller","Боевик, Триллер"
"Hunting Games","4.2","When a group of ex-military members is hired to retrieve a lost bag of stolen money, their mission becomes more difficult after a lone hunter finds the bag first.","2023-05-12","en","Justin Lee","Chris 'C.T.' Tamburello, Tito Ortiz, Bruce Dern, Danny Trejo, Randy Charach","0","Action, Thriller, TV Movie","Боевик, Триллер, TV Movie"
"The Roundup: No Way Out","7.2","Detective Ma Seok-do changes his affiliation from the Geumcheon Police Station to the Metropolitan Investigation Team, in order to eradicate Japanese gangsters who enter Korea to commit heinous crimes.","2023-05-31","ko","Lee Sang-yong","Ma Dong-seok, Lee Jun-hyuk, Munetaka Aoki, Lee Beom-soo, Kim Min-jae","83410298","Action, Crime, Comedy, Thriller","Боевик, Криминал, Комедия, Триллер"
"The Equalizer 3","7.329","Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.","2023-08-30","en","Antoine Fuqua","Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman, Gaia Scodellaro","190000000","Action, Thriller, Crime","Боевик, Триллер, Криминал"
"Black Lotus","6.6","An ex-special forces operative wages a one man war through the streets of Amsterdam to rescue his friend's daughter from the local crime syndicate.","2023-04-12","en","Todor Chapkanov","Rico Verhoeven, Frank Grillo, Peter Franzén, Roland Møller, Magnus Samuelsson","0","Action, Crime, Mystery, Thriller","Боевик, Криминал, Мистика, Триллер"
"Johnny & Clyde","4.9","Johnny and Clyde are two serial killers who are madly in love and on an endless crime spree. Alana (Megan Fox) is the confident and cunning owner of a prosperous casino that generates tens of millions of dollars each year. Johnny and Clyde decide to assemble a ragtag group of criminals and misfits to steal from Alana's casino and pull off the heist of the century. Unfortunately for Johnny and Clyde's crew, Alana has a deadly weapon at her disposal – the monstrous slasher spirit known as Bakwas.","2023-03-23","en","Tom DeNucci","Avan Jogia, Ajani Russell, Megan Fox, Tyson Ritter, Bai Ling","0","Action, Thriller, Crime","Боевик, Триллер, Криминал"
"MR-9: Do or Die","6.5","Elite Bangladeshi CIA agent Masud Rana – codename MR-9 – teams up with an American CIA operative to bring down an international criminal organization headed by a ruthless businessman.","2023-08-25","bn","Asif Akbar","Frank Grillo, Michael Jai White, Kelly Greyson, Matt Passmore, Sakshi Pradhan","7100000","Action, Drama, Thriller","Боевик, Драма, Триллер"
"Out of Exile","6.4","Recently paroled thief Gabriel Russell tries to balance his life and mend a troubled family as an FBI agent hunts him down, along with his crew after a botched armored car robbery.","2023-01-20","en","Kyle Kauwika Harris","Adam Hampton, Karrie Cox, Kyle Jacob Henry, Ryan Merriman, Peter Greene","0","Thriller, Drama, Action, Crime","Триллер, Драма, Боевик, Криминал"
"Sin Piedad","6.7","A high school coach, whose teenage daughter was murdered, takes matters into his own hands by going after the men who kidnap his students for their sex trafficking operation.","2023-12-14","en","Art Camacho","Dermot Mulroney, Jeff Fahey, Melissa Diaz, Mauricio Mendoza, Niko Foster","0","Action, Thriller","Боевик, Триллер"
"In the Land of Saints and Sinners","6.567","In a remote Irish village, a damaged Finbar is forced to fight for redemption after a lifetime of sins, but what price is he willing to pay? In the land of saints and sinners, some sins can't be buried.","2023-10-06","en","Robert Lorenz","Liam Neeson, Kerry Condon, Ciarán Hinds, Jack Gleeson, Colm Meaney","0","Action, Thriller","Боевик, Триллер"
"Guy Ritchie's The Covenant","7.759","During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.","2023-04-19","en","Guy Ritchie","Jake Gyllenhaal, Dar Salim, Sean Sagar, Jason Wong, Rhys Yates","20000000","War, Action, Thriller","Военный, Боевик, Триллер"
"Retribution","6.654","When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks- all with his kids trapped in the back seat.","2023-08-23","en","Nimród Antal","Liam Neeson, Lilly Aspell, Jack Champion, Matthew Modine, Noma Dumezweni","16700000","Thriller, Action, Adventure","Триллер, Боевик, Приключения"
"Skal: Fight for Survival","5.4","My name's Arthur, a huge Internet star who's just hit 3 million subs. While in the midst of throwing an epic party to celebrate, the universe had the balls to bring on the effing apocalypse and cut my night short. What was supposed to be a perfect hangover, has turned into an epic fight for survival.","2023-11-24","en","Benjamin Cappelletti","Evan Marsh, Chris Sandiford, Mariah Inger, Darren Eisenhauer, Olivia Scriven","0","Action, Horror, Comedy, Thriller","Боевик, Ужасы, Комедия, Триллер"
