"title","rating","overview","release date","original language","director","actors","revenue","genres","genres_ru"
"Harley Davidson and the Marlboro Man","6.3","It's the lawless future, and renegade biker Harley Davidson and his surly cowboy buddy, Marlboro, learn that a corrupt bank is about to foreclose on their friend's bar to further an expanding empire. Harley and Marlboro decide to help by robbing the crooked bank. But when they accidentally filch a drug shipment, they find themselves on the run from criminal financiers and the mob in this rugged action adventure.","1991-08-23","en","Simon Wincer","Mickey Rourke, Don Johnson, Chelsea Field, Daniel Baldwin, Giancarlo Esposito","7434726","Action, Thriller","Боевик, Триллер"
"Backdraft","6.7","Firemen brothers Brian and Stephen McCaffrey battle each other over past slights while trying to stop an arsonist with a diabolical agenda from torching Chicago.","1991-05-24","en","Ron Howard","Kurt Russell, William Baldwin, Robert De Niro, Donald Sutherland, Jennifer Jason Leigh","152368585","Drama, Thriller, Action, Crime","Драма, Триллер, Боевик, Криминал"
"Ricochet","6.071","An attorney is terrorized by the criminal he put away years ago when he was a cop.","1991-10-04","en","Russell Mulcahy","Denzel Washington, John Lithgow, Ice-T, Kevin Pollak, Lindsay Wagner","21760000","Crime, Thriller, Action, Drama","Криминал, Триллер, Боевик, Драма"
"Trancers II: The Return of Jack Deth","5.7","Once again someone from the future has come back to create an army of Trancers, human zombies who do what they're told without question or pause. Now officer Jack Deth, a cop from the future stranded in the past, must once again go forth to stop them. This sci-fi action sequel chronicles his courageous actions as he struggles to save the future. His difficulties are compounded when his boss sends his first wife back from the future to help Deth who has unfortunately, married a 20th-century girl.","1991-08-22","en","Charles Band","Tim Thomerson, Helen Hunt, Megan Ward, Biff Manard, Martine Beswick","0","Action, Science Fiction, Thriller","Боевик, Научная фантастика, Триллер"
"Robotrix","5.7","A mad scientist transfers his mind to a wicked robot, which then embarks on a program of kidnaping, rape and murder, during which a female detective is killed. To fight the robot, the police woman's corpse is then made into a robotrix.","1991-05-31","cn","Jamie Luk Kim-Ming","Chikako Aoyama, Amy Yip, David Wu, Hui Hiu-Daan, Billy Chow Bei-Lei","0","Action, Comedy, Crime, Romance, Science Fiction, Thriller","Боевик, Комедия, Криминал, Романтика, Научная фантастика, Триллер"
"Highlander II: The Quickening","4.713","In the year 2024, the ozone layer is believed to have been destroyed, and it's up to MacLeod and Ramirez to set things right. Opposition comes from both the planet Ziest (MacLeod and Ramirez's homeworld) and a corporation profiting from the supposed lack of ozone. Also, flashbacks show the story behind MacLeod and Ramirez's exile from Ziest.","1991-01-13","en","Russell Mulcahy","Christopher Lambert, Sean Connery, Virginia Madsen, Michael Ironside, John C. McGinley","15600000","Fantasy, Action, Adventure, Thriller","Фэнтези, Боевик, Приключения, Триллер"
"The Marrying Man","5.6","Charley Pearl, wealthy heir and gadabout, is slated to marry Adele, the daughter of a Hollywood tycoon. But, during a wild bachelor party in Las Vegas, Charley strikes up a flirtation with nightclub crooner Vicki Anderson that soon leads to her bedroom. When the couple are discovered by Vicki's beau, infamous gangster Bugsy Siegel, he makes a surprising pronouncement -- they'd better marry, or Charley is a dead man.","1991-04-05","en","Jerry Rees","Kim Basinger, Alec Baldwin, Robert Loggia, Elisabeth Shue, Armand Assante","12454768","Action, Comedy, Romance, Thriller, Drama","Боевик, Комедия, Романтика, Триллер, Драма"
"Star Trek VI: The Undiscovered Country","7.007","After years of war, the Federation and the Klingon empire find themselves on the brink of a peace summit when a Klingon ship is nearly destroyed by an apparent attack from the Enterprise. Both worlds brace for what may be their deadliest encounter.","1991-12-06","en","Nicholas Meyer","William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei","96888996","Science Fiction, Action, Adventure, Thriller","Научная фантастика, Боевик, Приключения, Триллер"
"One Good Cop","5.7","When his partner is killed in the line of duty, Artie Lewis becomes the legal guardian of his three orphaned girls. But during his investigation of the case, Lewis finds his life – and that of his newfound family – on the line. That's when the guilty crime-lord comes face to face with one man's rage, one man's fury, one man's justice.","1991-05-03","en","Heywood Gould","Michael Keaton, Rene Russo, Anthony LaPaglia, Kevin Conway, Rachel Ticotin","0","Action, Crime, Drama, Thriller","Боевик, Криминал, Драма, Триллер"
"Casino Raiders II","5.9","Chicken Feet assists in running an honorable gambling den owned by the crippled Uncle Fan and his son Kit. Having previously tried to shut down the gambling den and take over by paralyzing Fan and framing Kit for another man's murder, ruthless local Triad boss, James goes a step further by murdering Fan. Driven only by money and the pursuit of two valuable 'Jade stones', James kidnaps Kit's daughter so he will surrender gambling in order for James to win the upcoming Championship.","1991-06-13","cn","Johnnie To","Andy Lau Tak-Wah, Dave Wong, Wu Chien-Lien, Monica Chan, Kelvin Wong","0","Action, Crime, Drama, Thriller","Боевик, Криминал, Драма, Триллер"
"Toy Soldiers","6.457","After federal agents arrest a drug czar and put him on trial, the cartel leader's vicious son storms a prep school and takes its students hostage. They rebel against the armed intruders and try to take back their academy by any means necessary.","1991-04-24","en","Daniel Petrie Jr.","Sean Astin, Wil Wheaton, Keith Coogan, Andrew Divoff, R. Lee Ermey","15100000","Action, Adventure, Thriller","Боевик, Приключения, Триллер"
"Wedlock","5.7","A male prison escapee heads for his hidden loot, electronically attached to a female prisoner.","1991-05-10","en","Lewis Teague","Rutger Hauer, Mimi Rogers, Joan Chen, James Remar, Stephen Tobolowsky","0","Action, Science Fiction, Thriller, Drama, Crime","Боевик, Научная фантастика, Триллер, Драма, Криминал"
"Company Business","5.2","An aging agent is called back by ""the Company"" to run a hostage trade of a Soviet spy for an American agent.","1991-09-06","en","Nicholas Meyer","Gene Hackman, Mikhail Baryshnikov, Kurtwood Smith, Terry O'Quinn, Daniel von Bargen","1501785","Action, Thriller","Боевик, Триллер"
"K2","5.6","They call it the savage mountain. 27 people have perished trying to reach the summit on K2, the world's second highest peak. A U.S. climbing team, funded by millionaire Clairborne is determined to conquer K2.","1991-10-10","en","Franc Roddam","Michael Biehn, Matt Craven, Annie Grindlay, Blu Mankuma, Elena Wohl","3106559","Thriller, Action, Adventure, Drama","Триллер, Боевик, Приключения, Драма"
"God of Gamblers III: Back to Shanghai","6.9","While battling a psychic gambler, Sing hurtles back in time to 1937 Shanghai. Now he must come to grips with his family history and get back to 1991.","1991-08-21","cn","Wong Jing","Stephen Chow Sing-Chi, Ng Man-tat, Gong Li, Ray Lui, Charles Heung Wah-Keung","0","Action, Comedy, Thriller","Боевик, Комедия, Триллер"
"Patriot Games","6.7","When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge.","1992-06-04","en","Phillip Noyce","Harrison Ford, Anne Archer, Thora Birch, Sean Bean, Patrick Bergin","178100000","Drama, Action, Thriller, Crime","Драма, Боевик, Триллер, Криминал"
"Rapid Fire","6.4","College student Jake Lo is pursued by smugglers, mobsters and crooked federal agents after he witnesses a murder by a Mafia kingpin.","1992-08-21","en","Dwight H. Little","Brandon Lee, Powers Boothe, Nick Mancuso, Raymond J. Barry, Kate Hodge","14356479","Action, Thriller","Боевик, Триллер"
"Lethal Weapon 3","6.7","Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned black market weapons dealer. Lorna Cole joins as the beautiful yet hardnosed internal affairs sergeant who catches Riggs's eye.","1992-05-15","en","Richard Donner","Mel Gibson, Danny Glover, Joe Pesci, Rene Russo, Stuart Wilson","321700000","Adventure, Action, Comedy, Thriller, Crime","Приключения, Боевик, Комедия, Триллер, Криминал"
"Universal Soldier","6.3","An American soldier who had been killed during the Vietnam War is revived 25 years later by the military as a semi-android, UniSols, a high-tech soldier of the future. After the failure of the initiative to erase all the soldier's memories, he begins to experience flashbacks that are forcing him to recall his past.","1992-07-10","en","Roland Emmerich","Jean-Claude Van Damme, Dolph Lundgren, Ally Walker, Ed O'Ross, Ralf Moeller","94999898","Thriller, Action, Science Fiction, Crime","Триллер, Боевик, Научная фантастика, Криминал"
"Under Siege","6.3","A disgruntled ex-CIA operative, his assistant and their assembled group of terrorists seize a battleship with nuclear blackmail in mind. They've planned for every contingency but ignore the ship's cook, former Navy SEAL Casey Ryback—an error that could be fatal.","1992-10-08","en","Andrew Davis","Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak, Colm Meaney","156563139","Action, Thriller","Боевик, Триллер"
"Naked Killer","5.9","A young woman is trained by a martial arts specialist to become a professional assassin.","1992-12-03","cn","Clarence Ford","Chingmy Yau, Simon Yam, Carrie Ng, Yiu Wai, Hui Shiu-Hung","0","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"Police Story 3: Super Cop","6.8","A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.","1992-07-04","cn","Stanley Tong","Jackie Chan, Michelle Yeoh, Maggie Cheung, Josephine Koo Mei-Wah, Kenneth Tsang","20500000","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"Passenger 57","5.966","An infamous terrorist has evaded capture for a long time by being extremely clever and ruthless. Things get interesting when he hijacks a plane carrying famous security expert John Cutter, who isn't about to stand for this sort of thing.","1992-11-06","en","Kevin Hooks","Wesley Snipes, Bruce Payne, Tom Sizemore, Alex Datcher, Bruce Greenwood","44065653","Action, Adventure, Thriller","Боевик, Приключения, Триллер"
"Fortress","6","In the future, the inmates of a private underground prison are computer-controlled with cameras, dream readers, and devices that can cause pain or death. John and his illegally pregnant wife Karen are locked inside ""The Fortress"" but are determined to escape before the birth of their baby.","1992-12-18","en","Stuart Gordon","Christopher Lambert, Kurtwood Smith, Loryn Locklin, Clifton Collins Jr., Jeffrey Combs","6739141","Action, Thriller, Science Fiction","Боевик, Триллер, Научная фантастика"
"Hard Boiled","7.5","A cop who loses his partner in a shoot-out with gun smugglers goes on a mission to catch them. In order to get closer to the leaders of the ring he joins forces with an undercover cop who's working as a gangster hitman. They use all means of excessive force to find them.","1992-04-16","cn","John Woo","Chow Yun-fat, Tony Leung Chiu-wai, Anthony Wong Chau-Sang, Teresa Mo, Philip Chan","0","Action, Thriller, Crime","Боевик, Триллер, Криминал"
"Dragon Inn","7.1","During the Ming Dynasty, Tsao Siu-yan, a power-crazed eunuch who rules his desert region of China as if he were the Emperor, ruthlessly thwarts plots against him and sets a trap for one of his enemies at the Dragon Gate Inn.","1992-08-22","cn","Raymond Lee Wai-Man","Brigitte Lin, Maggie Cheung, Tony Leung Ka-fai, Donnie Yen, Elvis Tsui Kam-Kong","0","Action, Thriller","Боевик, Триллер"
"Kickboxer 3: The Art of War","4.948","Kick-box champion David Sloan arrives in Rio de Janeiro for an exhibition fight. He and mentor Xian take pity on Brazilian rascal Marcos Coasta, an urchin who offers guide services but routinely steals from tourists for himself and his older sister Isabella. David is shocked when he sees how his Argentinian opponent Marcelo needlessly abuses a courteous local sparing partner. That's the doing of his evil US manager, Lane. He has nasty plans to force David to cheat and runs a white slavery racket.","1992-06-11","en","Rick King","Sasha Mitchell, Dennis Chan Kwok-San, Richard Comar, Noah Verduzco, Alethea Miranda","0","Action, Thriller","Боевик, Триллер"
"Trespass","6.3","Two Arkansas firemen, Vince and Don, get hold of a map that leads to a cache of stolen gold in an abandoned factory in East St. Louis. What they don't know is that the factory is on the turf of a local gang, who come by to execute one of their enemies. Vince sees the shooting, the gang spots Vince, and extended mayhem ensues. As Vince and Don try to escape, gang leader King James argues with his subordinate Savon about how to get rid of the trespassers.","1992-12-25","en","Walter Hill","Bill Paxton, Ice-T, William Sadler, Ice Cube, Art Evans","13249535","Action, Thriller, Crime","Боевик, Триллер, Криминал"
"Nemesis","5.4","In the future, chaos is rampant as 'information terrorists' threaten to destroy order in society. Alex is a part-man, part-machine LAPD cop who is the best at what he does. When one of the terrorists calls him a machine, Alex questions his humanity and decides to leave the force. His final assignment is to apprehend an old colleague who has stolen some data. However, there is more than meets the eye and Alex must question his allegiance.","1992-12-26","en","Albert Pyun","Olivier Gruner, Tim Thomerson, Deborah Shelton, Cary-Hiroyuki Tagawa, Merle Kennedy","2001124","Science Fiction, Thriller, Action","Научная фантастика, Триллер, Боевик"
"Romper Stomper","6.555","Nazi skinheads in Melbourne take out their anger on local Vietnamese, who are seen as threatening racial purity. Finally the Vietnamese have had enough and confront the skinheads in an all-out confrontation, sending the skinheads running. A woman who is prone to epileptic seizures joins the skins' merry band, and helps them on their run from justice, but is her affliction also a sign of impurity?","1992-03-05","en","Geoffrey Wright","Russell Crowe, Daniel Pollock, Jacqueline McKenzie, Alex Scott, Leigh Russell","3300000","Action, Drama, Thriller","Боевик, Драма, Триллер"
"Iron Eagle III","4.1","Chappy discovers a drug-smuggling scheme at his own air base. It turns out that the lives of some village people in Peru are at stake, and he decides to fly there with ancient airplanes and friends to free them.","1992-01-09","en","John Glen","Louis Gossett Jr., Rachel McLish, Paul Freeman, Horst Buchholz, Christopher Cazenove","0","Action, Thriller","Боевик, Триллер"
"Full Contact","6.7","In an effort to get his buddy out of a gambling debt, Jeff agrees to join forces with Judge in a weapons heist. The job goes bad and Judge betrays Jeff. Jeff plots the ultimate revenge on Judge and his followers and it is a question of whether he can follow through with his plan.","1992-07-23","cn","Ringo Lam","Chow Yun-fat, Simon Yam, Ann Bridgewater, Anthony Wong Chau-Sang, Bonnie Fu","0","Crime, Action, Thriller","Криминал, Боевик, Триллер"
"Live Wire","5.3","Danny O'Neill is a bomb disposal expert assigned to a case where terrorists have developed an ""invisible"" liquid explosive which is activated within the human body.","1992-09-03","en","Christian Duguay","Pierce Brosnan, Ron Silver, Ben Cross, Lisa Eilbacher, Michael J. Shea","0","Action, Thriller, Drama","Боевик, Триллер, Драма"
"Rage and Honor","4.9","Witnessing a drug deal involving local gang members and cops, an Australian police officer feels he can no longer be just an observer. He joins forces with a local teacher who just happens to be a karate expert and together they try to take back the streets.","1992-05-08","en","Terence H. Winkless","Cynthia Rothrock, Richard Norton, Brian Thompson, Catherine Bach, Stephen Davies","0","Action, Thriller, Crime","Боевик, Триллер, Криминал"
"Ruby","5.4","Fact and fiction are combined in this story about Jack Ruby and a stripper, Candy Cane, and how they become involved in a conspiracy to kill J.F.K.","1992-03-27","en","John Mackenzie","Danny Aiello, Sherilyn Fenn, Tobin Bell, Joe Cortese, David Duchovny","919286","Drama, Action, Thriller, Crime","Драма, Боевик, Триллер, Криминал"
"Bound by Honor","8.137","Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo.","1993-02-05","en","Taylor Hackford","Damian Chapa, Jesse Borrego, Benjamin Bratt, Enrique Castillo, Victor Rivers","4500000","Crime, Action, Drama, Thriller","Криминал, Боевик, Драма, Триллер"
"Hard Target","6.4","When a woman's father goes missing, she enlists a local to aid in her search.  The pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation.","1993-04-27","en","John Woo","Jean-Claude Van Damme, Arnold Vosloo, Lance Henriksen, Yancy Butler, Sven-Ole Thorsen","74189677","Action, Adventure, Crime, Thriller","Боевик, Приключения, Криминал, Триллер"
"RoboCop 3","4.841","The mega corporation Omni Consumer Products is still bent on creating their pet project, Delta City, to replace the rotting city of Detroit. Unfortunately, the inhabitants of the area have no intention of abandoning their homes simply for desires of the company. To this end, OCP have decided to force them to leave by employing a ruthless mercenary army to attack and harass them. An underground resistance begins and in this fight, RoboCop must decide where his loyalties lie.","1993-01-21","en","Fred Dekker","Robert John Burke, Nancy Allen, Rip Torn, John Castle, Jill Hennessy","10696210","Action, Adventure, Crime, Science Fiction, Thriller","Боевик, Приключения, Криминал, Научная фантастика, Триллер"
"Judgment Night","6.5","Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.","1993-10-15","en","Stephen Hopkins","Emilio Estevez, Cuba Gooding Jr., Denis Leary, Stephen Dorff, Jeremy Piven","12136938","Action, Crime, Thriller","Боевик, Криминал, Триллер"
